source_row,Model,Domain,Task,Publication date,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Training compute estimation method,Confidence,Base model,Open model weights?,exclusion_reasons,candidate,primary,loose_ratio,C_over_6ND,date,N,C,D
1529,DeepSeek Coder 6.7B,Language,Code generation,2024-01-25,6700000000.0,6.7B,8.04e+22,2T tokens * 6.7B parameters * 6 FLOP / parameter / token = 8.04*10^22 FLOP,2000000000000,"""Trained from scratch on 2T tokens, including 87% code and 13% linguistic data in both English and Chinese languages.""

""The total data volume is 798 GB with 603 million files.""",Operation counting,Likely,,Yes,,True,True,True,1.0,2024-01-25 00:00:00+00:00,6700000000.0,8.04e+22,2000000000000.0
1512,OLMo-7B,Language,"Language modeling/generation,Chat",2024-02-01,7000000000.0,,1.0332e+23,"direct calculation:
6*7B*2.46trillion=1.0332 × 10^23

(calculation also reporoduced by the developers in https://arxiv.org/pdf/2501.00656)",2000000000000,"""We built our training dataset out of a 2T-token sample from our open dataset, Dolma [...] All of our released models have been trained to at least 2T tokens (a single epoch over our training data), and some have been trained beyond that by starting a second epoch over the data with a different shuffling order""

Table 1 indicates total tokens seen are 2.46T for the 7B parameter model, though note that a later release in July 2024 has been trained to 2.75T tokens: https://github.com/allenai/OLMo?tab=readme-ov-file",Operation counting,Confident,,Yes,,True,True,True,1.23,2024-02-01 00:00:00+00:00,7000000000.0,1.0332e+23,2000000000000.0
1513,OLMo-1B,Language,"Language modeling/generation,Chat",2024-02-01,1000000000.0,,1.2e+22,"direct calculation:
6*1B*2trillion=1.2e22

(calculation also reporoduced by the developers in https://arxiv.org/pdf/2501.00656)",2000000000000,"""We built our training dataset out of a 2T-token sample from our open dataset, Dolma [...] All of our released models have been trained to at least 2T tokens (a single epoch over our training data), and some have been trained beyond that by starting a second epoch over the data with a different shuffling order""",Operation counting,Confident,,Yes,,True,True,True,1.0,2024-02-01 00:00:00+00:00,1000000000.0,1.2e+22,2000000000000.0
1509,Qwen1.5-72B,Language,"Chat,Language modeling/generation,Quantitative reasoning,Code generation,Translation",2024-02-04,72000000000.0,72B,1.3e+24,"3T training tokens: https://github.com/QwenLM/Qwen2/issues/97

6 * 72 billion * 3 trillion = ~1.3e24",3000000000000,3 trillion tokens from this response https://github.com/QwenLM/Qwen2/issues/97,Operation counting,Confident,,Yes,,True,True,True,1.0030864197530862,2024-02-04 00:00:00+00:00,72000000000.0,1.3e+24,3000000000000.0
1476,Gemma 7B,Language,"Language modeling/generation,Chat,Code generation,Question answering,Quantitative reasoning",2024-02-21,8538074112.0,"Table 2, sum of embedding and non-embedding parameters",3.07e+23,"6ND aproximation 6*8.54B*6T = 3.07e23
""Gemma 2B and 7B are trained on 2T and 6T tokens respectively of primarily-English data from web documents, mathematics, and code.""

As confirmation: ""We estimate the carbon emissions from pretraining the Gemma models to be ∼ 131 𝑡𝐶𝑂2𝑒𝑞. ""

U.S. avg CO2 per kWh is ~0.87lbs
131 tCO2 * 2000 lb/t * (1 kWh/0.87lb) = 3.01e5 kWh

Per SemiAnalysis TPU v5e uses ~ 5x less power than H100, so ~140 W TDP
3.01e5 kWh * 1000 W/kW * 1 TPUv5e/140 W  = 2.15e6 TPUv5e-hours

In bf16 precision, TPUv5e has peak performance of 197 TF/s, so:
2.15e6 * 3600 * 197e12 * 0.3 = 4.57e23",6000000000000,"""Gemma 2B and 7B are trained on 2T and 6T tokens respectively of primarily-English data from web documents, mathematics, and code.""
Not explicitly stated that this doesn't involve multiple epochs, but I expect it does not.","Operation counting,Hardware",Confident,,Yes,,True,True,True,0.998794068300748,2024-02-21 00:00:00+00:00,8538074112.0,3.07e+23,6000000000000.0
1480,Gemma 2B,Language,"Language modeling/generation,Chat,Code generation,Question answering,Quantitative reasoning",2024-02-21,2506434560.0,"Table 2, sum of embedding and non-embedding parameters:

2B 524,550,144 + 1,981,884,416 = 2506434560",4.5115822e+22,"6ND = 6*2506434560.00 parameters * 3*10^12 training tokens = 4.5115822e+22

(assuming 1 epoch)",3000000000000,"""Gemma 2B and 7B are trained on 3T and 6T tokens respectively of primarily-English data from web documents, mathematics, and code.""
Not explicitly stated that this doesn't involve multiple epochs, but I expect it does not.",Operation counting,Confident,,Yes,,True,True,True,0.9999999982267862,2024-02-21 00:00:00+00:00,2506434560.0,4.5115822e+22,3000000000000.0
1469,Gemma 1.1 7B Instruct,Language,"Language modeling/generation,Question answering",2024-02-24,8540000000.0,"Safetensors
Model size 8.54B params",3.0744e+23,6ND = 6*6000000000000*8540000000=3.0744e+23,6000000000000,"""These models were trained on a dataset of text data that includes a wide variety of sources, totaling 6 trillion tokens. """,Operation counting,Confident,,Yes,,True,True,True,1.0,2024-02-24 00:00:00+00:00,8540000000.0,3.0744e+23,6000000000000.0
1387,Viking,Language,"Language modeling/generation,Language generation,Translation",2024-04-04,33000000000.0,33B,2.574e+23,"Plan is to train on 2 trillion tokens, but most recent release is at 1.3T
6 * 33B * 1.3 trillion = 2.574E23",2000000000000,"Viking is being trained on a 2 trillion token mixed dataset of English, Finnish, Swedish, Danish, Norwegian, Icelandic and code.",Operation counting,Confident,,Yes,,True,True,True,0.6499999999999999,2024-04-04 00:00:00+00:00,33000000000.0,2.574e+23,2000000000000.0
1378,Stable LM 2 12B,Language,"Language modeling/generation,Translation",2024-04-08,12143605760.0,Precise number given in HF model card,2.91e+23,"2* 12143605760 params * 3* 2T tokens * 2 epochs = 2.91e23.
Trained on 384 H100s (AWS P5 instances).",2000000000000,2T tokens,Operation counting,Confident,,Yes,,True,True,True,1.9969357107983057,2024-04-08 00:00:00+00:00,12143605760.0,2.91e+23,2000000000000.0
1329,phi-3-mini 3.8B,Language,"Chat,Language modeling/generation",2024-04-23,3800000000.0,3.8B,7.524e+22,"counting operations: 6×3.3×10^12 tokens ×3.8×10^9 parameters ≈7.524×10^22 FLOPS
hardware estimate: 7 days ×24 hours / day×3600 sec / hour *989,000,000,000,000 FLOP/s*512 GPUs*0.3 [assumed utilization]=9.187540992×10^22",3300000000000,"In this report we present a new model, phi-3-mini (3.8B parameters), trained for 3.3T tokens","Hardware,Operation counting",Confident,,Yes,,True,True,True,1.0,2024-04-23 00:00:00+00:00,3800000000.0,7.524e+22,3300000000000.0
1289,Falcon 2 11B,Language,"Language modeling/generation,Question answering",2024-05-09,11000000000.0,11B,3.6e+23,"trained on 5.5T tokens

6 * 11B * 5.5T = 3.6e23",5500000000000,5.5T tokens: https://falconllm.tii.ae/falcon-2.html,Operation counting,Confident,,Yes,,True,True,True,0.9917355371900827,2024-05-09 00:00:00+00:00,11000000000.0,3.6e+23,5500000000000.0
1284,Fugaku-LLM,Language,"Language modeling,Translation,Japanese language modeling,Language modeling/generation,Question answering",2024-05-10,13000000000.0,"""Fugaku-LLM has 13 billion parameters (2)""",2.9640000000001e+22,https://www.wolframalpha.com/input?i=6+FLOP+*+13+billion+*+380+billion,380000000000,"""Fugaku-LLM was trained on 380 billion tokens using 13,824 nodes of Fugaku, with about 60% of the training data being Japanese, combined with English, mathematics, and code.""",Operation counting,Confident,,Yes,,True,True,True,1.0000000000000338,2024-05-10 00:00:00+00:00,13000000000.0,2.9640000000001e+22,380000000000.0
1219,Granite 20B,Language,Language modeling/generation,2024-05-31,20000000000.0,,3.0000000000001e+23,6*2500000000000*20000000000=3e+23,2500000000000,"For pre-training, we used 0.5 trillion English, 0.4 trillion multilingual (es, fr, de, pt), and 1.6 trillion code tokens.",Operation counting,Confident,,Yes,,True,True,True,1.0000000000000333,2024-05-31 00:00:00+00:00,20000000000.0,3.0000000000001e+23,2500000000000.0
1203,Qwen2-72B,Language,"Chat,Language modeling/generation,Question answering",2024-06-07,72710000000.0,"72.71B parameters in total, of which 70.21B are non-embedding parameters",3.02e+24,"72 billion params, 7 trillion tokens

6 * 72 billion * 7 trillion ~= 3.02e24",7000000000000,"""All models were pre-trained on a high-quality, large-scale dataset comprising over 7 trillion tokens, covering a wide range of domains and languages.""",Operation counting,Confident,,Yes,,True,True,True,0.9889253459601417,2024-06-07 00:00:00+00:00,72710000000.0,3.02e+24,7000000000000.0
1165,Gemma 2 9B,Language,"Language modeling/generation,Chat,Code generation,Question answering,Quantitative reasoning",2024-06-24,9000000000.0,,4.32e+23,"""For the 9B model, we train on an 8x16x32 configuration of TPUv4, totaling 4096 chips""

6ND = 6 FLOP / token / parameter * 9000000000 parameters * 8000000000000 tokens = 4.32e+23 FLOP",8000000000000,"""the 9B model on 8 trillion tokens""",Operation counting,Confident,,Yes,,True,True,True,1.0,2024-06-24 00:00:00+00:00,9000000000.0,4.32e+23,8000000000000.0
1166,Gemma 2 27B,Language,"Language modeling/generation,Chat,Code generation,Question answering,Quantitative reasoning",2024-06-24,27000000000.0,,2.106e+24,"""For the 27B model, we train on an 8x24x32 configuration of
TPUv5p, totaling 6144 chips""

trained on 13T tokens

6ND = 6*27000000000*13000000000000=2.106e+24",13000000000000,"""We train Gemma 2 27B on 13 trillion tokens of primarily-English data""",Operation counting,Confident,,Yes,,True,True,True,1.0,2024-06-24 00:00:00+00:00,27000000000.0,2.106e+24,13000000000000.0
1167,Gemma 2 2B,Language,"Language modeling/generation,Chat,Code generation,Question answering",2024-06-24,2600000000.0,,3.12e+22,"""For the 2.6B model, we train on a 2x16x16 configuration of TPUv5e, totaling 512 chips""

6ND = 6 FLOP / token / parameter * 2600000000 parameters * 2000000000000 tokens = 3.12e+22 FLOP",2000000000000,"""the 2.6B on 2 trillion tokens""",Operation counting,Confident,,Yes,,True,True,True,1.0,2024-06-24 00:00:00+00:00,2600000000.0,3.12e+22,2000000000000.0
1144,MAP-Neo,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Translation,Code generation",2024-07-10,7000000000.0,7B,1.89e+23,6 FLOP / parameter / token * 7 * 10^9 parameters * 4.5 * 10^12 tokens = 1.89e+23 FLOP,4500000000000,4.5T high-quality tokens,Operation counting,Confident,,Yes,,True,True,True,1.0,2024-07-10 00:00:00+00:00,7000000000.0,1.89e+23,4500000000000.0
1113,DCLM 7B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",2024-07-20,7000000000.0,7B,1.05e+23,6 FLOP / parameter / token * 7 * 10^9 parameters * 2.5 * 10^12 tokens = 1.05e+23 FLOP,2500000000000,Total Training Tokens: 2.5T,Operation counting,Confident,,Yes,,True,True,True,1.0,2024-07-20 00:00:00+00:00,7000000000.0,1.05e+23,2500000000000.0
1106,Llama 3.1-405B,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning",2024-07-23,405000000000.0,405B,3.8e+25,"Stated in paper.

Also, 6 * 405B * 15.6T training tokens = 3.8e25",15600000000000,15.6T tokens,"Reported,Operation counting",Confident,,Yes,,True,True,True,1.0024269283528542,2024-07-23 00:00:00+00:00,405000000000.0,3.8e+25,15600000000000.0
1022,GLA Transformer 340M,Language,"Language modeling/generation,Question answering",2024-08-27,340000000.0,340m,3.06e+19,6ND = 6*340*10^6*15*10^9 = 3.06e+19,15000000000,15B Tokens,Operation counting,Confident,,Yes,,True,True,True,1.0,2024-08-27 00:00:00+00:00,340000000.0,3.06e+19,15000000000.0
940,Qwen2.5-32B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",2024-09-17,32500000000.0,32.5B,3.51e+24,6 FLOP / parameter / token * 32.5B parameters * 18 trillion tokens = 3.51 × 10^24 FLOP,18000000000000,"""In terms of Qwen2.5, the language models, all models are pretrained on our latest large-scale dataset, encompassing up to 18 trillion tokens""",Operation counting,Confident,,Yes,,True,True,True,1.0,2024-09-17 00:00:00+00:00,32500000000.0,3.51e+24,18000000000000.0
907,Qwen2.5-72B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",2024-09-19,72700000000.0,72.7B,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",18000000000000,"""In terms of Qwen2.5, the language models, all models are pretrained on our latest large-scale dataset, encompassing up to 18 trillion tokens""",Operation counting,Confident,,Yes,,True,True,True,0.9934280910897142,2024-09-19 00:00:00+00:00,72700000000.0,7.8e+24,18000000000000.0
905,Telechat2-115B,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Chat,Text summarization,Code generation",2024-09-20,115000000000.0,,6.9e+24,6ND: 6 * 115B * 10T = 6.9e24,10000000000000,The open source TeleChat2-115B model is trained using 10 trillion tokens of high-quality Chinese and English corpus,Operation counting,Confident,,Yes,,True,True,True,0.9999999999999999,2024-09-20 00:00:00+00:00,115000000000.0,6.899999999999999e+24,10000000000000.0
882,Llama 3.2 1B,Language,"Language modeling/generation,Text summarization,Question answering,Quantitative reasoning,Translation",2024-09-24,1230000000.0,https://huggingface.co/meta-llama/Llama-3.2-1B,6.642e+22,"6ND = 6*1230000000.00*9000000000000 = 6.642e+22

370000 hours * 3600 s * 133800000000000 FLOPS/s* 0.3 = 5.346648e+22",9000000000000,"""Llama 3.2 was pretrained on up to 9 trillion tokens of data from publicly available sources.""","Operation counting,Hardware",Confident,,Yes,,True,True,True,1.0,2024-09-24 00:00:00+00:00,1230000000.0,6.642e+22,9000000000000.0
883,Llama 3.2 3B,Language,"Language modeling/generation,Text summarization,Question answering,Quantitative reasoning,Translation",2024-09-24,3210000000.0,https://huggingface.co/meta-llama/Llama-3.2-1B,1.7334e+23,"6ND = 6*3210000000.00*9000000000000 = 1.7334e+23

460000 hours * 3600 s * 133800000000000 FLOPS/s* 0.3 = 6.647184e+22",9000000000000,"""Llama 3.2 was pretrained on up to 9 trillion tokens of data from publicly available sources.""","Operation counting,Hardware",Confident,,Yes,,True,True,True,1.0,2024-09-24 00:00:00+00:00,3210000000.0,1.7334e+23,9000000000000.0
720,Hymba,Language,"Language modeling/generation,Question answering",2024-11-22,1500000000.0,1.5B,1.35e+22,6 FLOP / token / parameter * 1.5 * 10^9 parameters * 1.5 * 10^12 tokens = 1.35e+22 FLOP,1500000000000,"1.5T training tokens
""We use a sequence length of 2K and a batch size of 2M tokens throughout the training process""",Operation counting,Confident,,Yes,,True,True,True,1.0,2024-11-22 00:00:00+00:00,1500000000.0,1.35e+22,1500000000000.0
675,EXAONE 3.5 2.4B,Language,"Language modeling/generation,Question answering,Translation",2024-12-09,2400000000.0, 2.4B,9.36e+22,9.36 × 10^22 (Table 2),6500000000000,6.5T tokens (Table 2),Reported,Confident,,Yes,,True,True,True,1.0,2024-12-09 00:00:00+00:00,2400000000.0,9.36e+22,6500000000000.0
676,EXAONE 3.5 7.8B,Language,"Language modeling/generation,Question answering,Translation",2024-12-09,7800000000.0,7.8B,4.21e+23,4.21 × 10^23 (Table 2),9000000000000,9T tokens (Table 2),Reported,Confident,,Yes,,True,True,True,0.9995251661918327,2024-12-09 00:00:00+00:00,7800000000.0,4.21e+23,9000000000000.0
677,EXAONE 3.5 32B,Language,"Language modeling/generation,Question answering,Translation",2024-12-09,32000000000.0,32B,1.25e+24,1.25 × 10^24 (Table 2),6500000000000,6.5T tokens (Table 2),Reported,Confident,,Yes,,True,True,True,1.001602564102564,2024-12-09 00:00:00+00:00,32000000000.0,1.25e+24,6500000000000.0
573,Mistral Small 3,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation",2025-01-30,24000000000.0,24B,1.152e+24,6ND = 6*8T tokens * 24B parameters = 1.152e+24 FLOP,8000000000000,"8 trillion tokens

Source: https://venturebeat.com/ai/mistral-small-3-brings-open-source-ai-to-the-masses-smaller-faster-and-cheaper/",Operation counting,Confident,,Yes,,True,True,True,1.0,2025-01-30 00:00:00+00:00,24000000000.0,1.152e+24,8000000000000.0
527,YandexGPT 5 Lite,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning,Retrieval-augmented generation",2025-02-25,8000000000.0,8B,7.3536e+23,6 FLOP / token / parameter * 8 * 10^9 parameters * 15.32 * 10^12 tokens [see dataset size notes] = 7.3536e+23 FLOP,15320000000000,"""At the first stage, the model was trained mainly on Russian-language and English-language texts with a total volume of 15T tokens with a context length of up to 8k tokens.""

""In the second stage, which we called Powerup, the model was trained on high-quality data of 320B tokens.""",Operation counting,Confident,,Yes,,True,True,True,1.0,2025-02-25 00:00:00+00:00,8000000000.0,7.3536e+23,15320000000000.0
479,OLMo 2 32B,Language,"Language modeling/generation,Question answering",2025-03-13,32000000000.0,32B,1.3e+24,first table here: https://allenai.org/blog/olmo2-32B,4000000000000,"""It is trained up to 6T tokens and post-trained using Tulu 3.1.""

""OLMo 2 32B is trained for 1.5 epochs, up to 6T tokens""

Pretraining Stage 1
(OLMo-Mix-1124)	6T tokens ( = 1.5 epochs)
Pretraining Stage 2
(Dolmino-Mix-1124) 100B tokens (3 runs)
300B tokens (1 run)
merged
Post-training
(Tulu 3 SFT OLMo mix)	SFT + DPO + PPO
(preference mix)",Reported,Confident,,Yes,,True,True,True,1.6927083333333333,2025-03-13 00:00:00+00:00,32000000000.0,1.3e+24,4000000000000.0
